music,streams,average,std_dev
Thotiana,"[16567, 17427, 18742, 14889, 13055, 12722]",15567.0,2213.747877845774
7 Minutes,"[14937, 12814]",13875.5,1061.5
What A Time (feat. Niall Horan),"[14350, 15603, 12685, 13780, 15017, 13446, 12202]",13869.0,1129.0714263120317
Beba,[14134],14134.0,0.0
Everyday,"[13745, 13409]",13577.0,168.0
Everyday Normal Guy 2,[13287],13287.0,0.0
my boy,[12502],12502.0,0.0
bad idea,"[61600, 36080, 28758, 15261]",35424.75,16856.715536767533
bloodline,"[52542, 27161, 19823, 15120]",28661.5,14439.711605499606
needy,"[44925, 22482, 16065]",27824.0,12372.755634861622
NASA,"[42310, 20217, 14704]",25743.666666666668,11928.421028041483
fake smile,"[41867, 20326, 13078]",25090.333333333332,12226.359074647784
Talk,"[37274, 33078, 32476, 34899, 30215, 23992, 24034, 19731, 28290]",29332.11111111111,5463.140762203947
ghostin,"[34205, 14107]",24156.0,10049.0
make up,"[31067, 12966]",22016.5,9050.5
in my head,[30145],30145.0,0.0
Better When You're Gone,"[22934, 21610, 18793, 17390, 17347, 11996, 13660, 13212]",17117.75,3714.590379503506
Forward Thinking,[18929],18929.0,0.0
Big Plans,"[13813, 14950, 15936, 17073, 16089, 15313, 17221, 13284]",15459.875,1325.4433633222507
Please Me,"[40441, 25782, 24350, 25575, 22577, 20848, 16846, 13870]",23786.125,7428.625704622289
365,"[40040, 31728, 25672, 23052, 20047, 18813, 17478, 13515, 13017, 11444]",21480.6,8546.966832742479
11 Minutes (with Halsey feat. Travis Barker),"[39907, 37407, 29491, 24982, 20075, 17639, 15649, 13573]",24840.375,9304.403110053594
Think About You,"[37121, 29562, 23622, 18101, 14750, 14508]",22944.0,8236.173444021199
Értesítések,"[27358, 26764, 16961, 13326]",21102.25,6099.381869296265
Jegyzetek,"[24298, 20622, 12636]",19185.333333333332,4868.166618165634
Red Room,"[19842, 16272, 13307]",16473.666666666668,2671.710854282119
Dumb Blonde (feat. Nicki Minaj),[17738],17738.0,0.0
Power Over Me,"[14165, 15359, 13253, 12733, 12180]",13538.0,1120.94460166415
Lenémítva,[13466],13466.0,0.0
Love Of My Life - Remastered 2011,"[12454, 12526]",12490.0,36.0
Az Én Apám,"[31305, 23406, 18753, 16585, 14026, 12807]",19480.333333333332,6303.817617567593
Legacy (feat. Travis Scott & 21 Savage),[19300],19300.0,0.0
Be Like Me (feat. Lil Wayne),[17418],17418.0,0.0
Baila Baila Baila,"[16507, 16978, 16128, 16772, 19297, 16464, 14550, 14836, 13526]",16117.555555555555,1576.3919500704492
Are You Lonely (feat. ISÁK),[15473],15473.0,0.0
Peer Pressure,[14005],14005.0,0.0
We Are The Champions - Remastered 2011,"[13209, 13068]",13138.5,70.5
"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","[67013, 55497, 52806, 44427, 33971, 29328, 29493, 21292, 16026, 15407, 15043, 13536]",32819.916666666664,17436.069393923684
Rule The World (feat. Ariana Grande),[19080],19080.0,0.0
Pacino,"[16743, 17116, 13825, 12766]",15112.5,1859.8562444447152
Girls Need Love (with Drake) - Remix,"[16242, 14781]",15511.5,730.5
Nobody,"[15858, 11849, 15366, 17924, 17232, 17071, 15147, 13876]",15540.375,1856.357517929938
Hear Me Calling,"[15272, 18946, 12261]",15493.0,2733.6101892308398
I,[15258],15258.0,0.0
Swervin (feat. 6ix9ine),"[14740, 15023, 15232, 22693, 24116, 27671, 29826, 22989, 22028, 19709, 19050, 13487]",20547.0,5063.12586254776
Thotiana (Remix),"[13915, 16563]",15239.0,1324.0
Mama (feat. Ellie Goulding),[13711],13711.0,0.0
Murder on My Mind,"[13373, 14502, 13564, 13946, 12404, 15132, 14498, 15965, 15755, 16172, 15586, 16134]",14752.583333333334,1184.8486160921807
Just You and I,"[13366, 14227, 14876, 17727, 20492, 19242, 19053, 15866, 12723]",16396.88888888889,2659.904444584615
A világ elől,"[13049, 13125, 11803, 12709, 13742, 11959, 13423, 13128, 12719]",12850.777777777777,600.3359758923475
Woke Up Late (feat. Hailee Steinfeld),[12992],12992.0,0.0
Secreto,"[12728, 13024, 13123, 13022]",12974.25,147.91953048870863
Fast,"[40674, 23952, 18784, 13477]",24221.75,10195.195838604574
My Bad,"[33783, 31137, 33176, 28711, 27222, 17689]",28619.666666666668,5403.678366528571
Two of Us,[13583],13583.0,0.0
Empty,[12756],12756.0,0.0
Heathens,"[12515, 13637, 19311, 15721, 14143]",15065.4,2360.110980441386
Lo/Hi,[12511],12511.0,0.0
Almost (Sweet Music),[12397],12397.0,0.0
Make Believe,[12355],12355.0,0.0
R.I.P. (feat. Rita Ora & Anitta),"[33496, 35700, 26960, 18291]",28611.75,6770.253775708855
"No New Friends (feat. Sia, Diplo, and Labrinth)","[24911, 24358, 21555, 19162, 27143, 17898, 17226]",21750.428571428572,3543.9743975672627
Undrunk,"[17766, 21966, 19468, 16188, 14285]",17934.6,2645.8314080832893
The Bones,"[16915, 18756, 18553, 17961, 14096]",17256.2,1704.7647814288046
Szeptember Végén,"[16306, 13672]",14989.0,1317.0
Falu Végén Kurta Kocsma,"[15760, 12882]",14321.0,1439.0
Contra La Pared,[13283],13283.0,0.0
Numb Numb Juice,[12727],12727.0,0.0
I Don't Belong In This Club,"[15282, 14362, 14139, 15814, 16411, 20651, 21039, 19809, 17792]",17255.444444444445,2525.9367068304737
Dancin (feat. Luvli) - Krono Remix,"[15184, 14664, 13526, 13180, 11672, 12577]",13467.166666666666,1188.89814767942
Confessions of a Dangerous Mind,[14079],14079.0,0.0
THANK GOD,"[13231, 14247, 107137, 49850, 35533]",43999.6,34421.40533795795
Insomnia,"[13219, 22470, 25319, 25388, 18704, 16674]",20295.666666666668,4502.268786092432
Wow. - Remix,"[12876, 12637]",12756.5,119.5
HP,"[12584, 12361, 16763, 16529, 15873, 15310, 15737, 17859]",15377.0,1826.3910452036278
my strange addiction,"[51639, 36040, 28305, 22066, 20472, 18103, 16995, 15603, 13871]",24788.222222222223,11522.708601113405
xanny,"[49944, 33565, 25398, 19455, 17631, 15384, 14543, 13355]",23659.375,11746.350911426705
ilomilo,"[41775, 27505, 20086, 15997, 14211, 13161, 12970]",20815.0,9794.771360271765
i love you,"[34970, 21603, 15972, 13379, 13569, 13128, 13178, 19034, 20470, 17974, 16344, 15305, 13990]",17608.923076923078,5713.134131933843
listen before i go,"[32965, 20101, 14864, 12083]",20003.25,8018.085319295374
8,"[30528, 18435, 13919]",20960.666666666668,7011.845422014252
Kills You Slowly,"[25082, 16190, 13986]",18419.333333333332,4796.370108970139
goodbye,"[21920, 12989]",17454.5,4465.5
MONOPOLY (with Victoria Monét),"[18976, 38643, 29513, 17971, 14586]",23937.8,8888.240397288993
Don't Worry Bout Me,"[18764, 15433, 13504]",15900.333333333334,2172.6635470980978
Self,[15915],15915.0,0.0
Hustle,[14408],14408.0,0.0
Con Altura,"[13499, 13105, 13577]",13393.666666666666,206.5870814504678
Kill This Love,"[56694, 46031, 35130, 31651, 31396, 28281, 22003, 20346, 13300]",31648.0,12539.30559835308
Cool,"[33642, 22488, 16119, 14689, 14132, 14269, 25424]",20109.0,6888.682063459496
Outta My Head (with John Mayer),"[32422, 24738, 14962, 14636, 13265]",20004.6,7433.287122128406
Racks in the Middle (feat. Roddy Ricch and Hit-Boy),"[19953, 17971]",18962.0,991.0
Don't Pretend,[15009],15009.0,0.0
Mistaken (feat. Alex Aris),[14194],14194.0,0.0
Boy With Luv (feat. Halsey),"[64212, 44870, 40009, 35852, 32203, 19019, 16696, 14643, 14040, 12841]",29438.5,16156.340311159578
Mikrokosmos,[20664],20664.0,0.0
Dionysus,[19972],19972.0,0.0
Make It Right,[19813],19813.0,0.0
CHopstix (feat. Travis Scott),"[19389, 15024]",17206.5,2182.5
HOME,[18330],18330.0,0.0
"Heaven Can Wait (feat. Sia, Diplo, and Labrinth)",[17409],17409.0,0.0
"Genius (feat. Sia, Diplo, and Labrinth)",[16330],16330.0,0.0
Jamais Vu,[15838],15838.0,0.0
3 Nights,"[15782, 16914, 22799, 24890, 29414, 23694, 20449, 17096, 15500, 16216]",20275.4,4514.149691802433
Can We Pretend (feat. Cash Cash),"[14217, 12508, 13770, 14326]",13705.25,721.9450723566164
Intro : Persona,[14018],14018.0,0.0
Kicsi Kocsi,[13637],13637.0,0.0
Sanguine Paradise,"[13522, 19800, 20704, 18991]",18254.25,2798.5535884631545
Power is Power (feat. The Weeknd & Travis Scott),"[45382, 40519, 31710, 28147, 21688]",33489.2,8506.817910358726
Jenny of Oldstones (Game of Thrones),"[33367, 35066, 17316]",28583.0,7997.108519125313
Earth,"[25387, 29909, 27183, 18438, 14827]",23148.8,5629.0071025004045
Before I Let Go - Homecoming Live Bonus Track,[15836],15836.0,0.0
Goddamn (feat. A Boogie wit da Hoodie),"[13700, 17509, 13958, 13604]",14692.75,1631.1078098948578
Utoljára sírtam érted,"[13594, 13717]",13655.5,61.5
Clout (feat. Cardi B),"[13232, 15128, 15043, 15553, 14750, 14341, 13508]",14507.857142857143,799.7570039118898
Light It Up (with Tyga & Chris Brown),"[32087, 22025, 16929, 14775]",21454.0,6679.659347601493
Radio,"[25035, 15361, 27225, 17871, 15294, 33778, 34721]",24183.571428571428,7651.110878393371
Drugs & The Internet,"[19872, 14341]",17106.5,2765.5
Hurts 2B Human (feat. Khalid),"[19074, 15041, 13175]",15763.333333333334,2461.8251133841513
The Night King,"[19021, 23031, 12884]",18312.0,4172.721973324687
Doom Days,[18933],18933.0,0.0
Do You Mean,"[17497, 16269, 16044, 17101, 13815]",16145.2,1280.3372055829668
Out Of Love,"[16459, 16802, 15470]",16243.666666666666,564.7018879216026
"Hey Look Ma, I Made It","[15492, 15291, 14051]",14944.666666666666,637.2233168643121
Floating (feat. 21 Savage),[15464],15464.0,0.0
"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)",[13529],13529.0,0.0
Kis Hülye Vagy,"[12561, 13344]",12952.5,391.5
Homicide,[79656],79656.0,0.0
Láv,"[31681, 24736, 17563, 14038]",22004.5,6787.6319324194355
Lehetne újra február,"[18617, 16095, 38696, 40741, 36575]",30144.8,10554.970400716433
Joy,[14708],14708.0,0.0
Vossi Bop,[13371],13371.0,0.0
Utolsó Tánc - PMXV Version,"[13164, 14039, 13285, 13098, 13099, 13034]",13286.5,345.37648539914625
Started,[12894],12894.0,0.0
Hey Julie! (feat. Lil Yachty),"[12668, 13100]",12884.0,216.0
Con Calma - Remix,"[12432, 13438, 14151, 13504, 13786, 13455]",13461.0,523.2876837839775
Gucci,"[12278, 13237, 13617, 13742, 14253, 14300, 14430, 14526, 14122, 13791, 13806, 14328]",13869.166666666666,603.7844308102759
Homicide (feat. Eminem),"[67345, 49222, 34469, 28096, 22190, 19096, 16287, 19866, 17734, 15774, 14381, 13197]",26471.416666666668,15779.961250788572
"Tough Love (feat. Agnes, Vargas & Lagola)","[49309, 36729, 29703, 29369, 18280, 14633]",29670.5,11485.171305499394
Stay (Don't Go Away) [feat. Raye],[22237],22237.0,0.0
Don't Give Up On Me,"[20556, 19543, 18547, 15857, 13292]",17559.0,2645.694691380697
Suge,"[17887, 21650, 23393, 19710, 18952, 17279]",19811.833333333332,2124.206629675078
Icy (feat. Gucci Mane),[16993],16993.0,0.0
"A Whole New World (End Title) - From ""Aladdin""","[15756, 13783, 22181, 20890]",18152.5,3484.195064860749
COMMANDO (feat. G-Eazy),[13201],13201.0,0.0
Love Me Less (feat. Quinn XCII),"[12974, 18501, 20254, 17323, 15249, 14294]",16432.5,2503.6846679777123
Dobd Fel Magad,"[12670, 13571]",13120.5,450.5
Nightmare,"[56261, 43713, 31243, 23702, 20009, 13914]",31473.666666666668,14516.919205610473
EARFQUAKE,"[34603, 38195, 32479, 28634, 27351, 23234, 15939]",28633.571428571428,6905.430779096838
Ausländer,"[34081, 22241, 23175, 15921, 15874]",22258.4,6656.3883780921315
Soldi,"[32243, 22616, 14325]",23061.333333333332,7321.767652388019
Zeig dich,"[31465, 16732, 13472]",20556.333333333332,7827.564812180663
Unsainted,"[30941, 16921, 13140, 13839, 14756, 24018, 14500, 14684]",17849.875,5909.448566437904
Doin' Time,"[29436, 14826, 21223, 15602]",20271.75,5838.473960505434
Puppe,"[29017, 15296]",22156.5,6860.5
Sex,"[26272, 14292]",20282.0,5990.0
Just Us (feat. SZA),"[23884, 19403, 14924]",19403.666666666668,3657.9047129318296
Celebrate (feat. Travis Scott & Post Malone),[23063],23063.0,0.0
Was ich liebe,[22189],22189.0,0.0
Diamant,[20000],20000.0,0.0
I THINK,[19926],19926.0,0.0
Weit weg,[19486],19486.0,0.0
She Got Me - Bonus Track,[16736],16736.0,0.0
Hola Señorita,"[16117, 13594, 15994, 16224, 14609]",15307.6,1038.3187564519867
Hallomann,[15779],15779.0,0.0
IGOR'S THEME,[14996],14996.0,0.0
Wish Wish (feat. Cardi B & 21 Savage),[14824],14824.0,0.0
NEW MAGIC WAND,[14753],14753.0,0.0
RUNNING OUT OF TIME,[14353],14353.0,0.0
Barátom,"[14141, 14980, 15879, 14973, 14315, 14157, 14552, 14676, 13396]",14563.222222222223,654.3060408262546
WHAT'S GOOD,[13958],13958.0,0.0
Soltera (Remix),[13091],13091.0,0.0
Not Ok,"[36467, 23791, 20869, 19214, 18618]",23791.8,6586.773334493909
Isis,"[32287, 25012, 18119, 15034]",22613.0,6651.668099056055
One Touch,[14743],14743.0,0.0
Get You The Moon (feat. Snøw),[13342],13342.0,0.0
Pop Out (feat. Lil Tjay),"[13333, 14613, 15272, 14970]",14547.0,738.6991945304936
Falling Like The Stars,[13043],13043.0,0.0
SOS,[46982],46982.0,0.0
Find U Again (feat. Camila Cabello),"[38020, 21637, 19466, 23251, 22378, 18476, 21973, 18593, 15147]",22104.555555555555,6108.222020106471
Press,"[31284, 17144, 13102]",20510.0,7795.030382664757
Tough Love,[21557],21557.0,0.0
Unholy,[18807],18807.0,0.0
The Search,[17081],17081.0,0.0
Teamtiah,[15056],15056.0,0.0
Love Thru the Computer (feat. Justin Bieber),[15026],15026.0,0.0
Glad He's Gone,[14736],14736.0,0.0
Spicy (with Diplo & Charli XCX),[14332],14332.0,0.0
Dubai,"[13920, 13536, 14176, 13428]",13765.0,299.56468416687574
Álljatok félre,"[13765, 15216]",14490.5,725.5
Heart Upon My Sleeve (feat. Imagine Dragons),[23154],23154.0,0.0
Haute (feat. J Balvin & Chris Brown),[19662],19662.0,0.0
Bad Reputation (feat. Joe Janiak),[19379],19379.0,0.0
Dream Glow (BTS World Original Soundtrack) (Pt. 1),[18446],18446.0,0.0
Hold The Line (feat. A R I Z O N A),"[17960, 15470, 13550]",15660.0,1805.3808462482368
Peace Of Mind (feat. Vargas & Lagola),[17040],17040.0,0.0
No Guidance (feat. Drake),"[16560, 29777, 24992, 18777, 22587, 24651, 20108, 16947, 17216, 16713, 18720, 17145, 16438, 16656]",19806.214285714286,3992.715280510807
I Think I'm OKAY (with YUNGBLUD & Travis Barker),"[14633, 19339, 18728, 29837, 27709, 24638, 21419, 17283]",21698.25,4935.700475869661
Ain't A Thing (feat. Bonn),[13743],13743.0,0.0
CIVIL WAR - Bonus,[13236],13236.0,0.0
Fades Away (feat. Noonie Bao),[12983],12983.0,0.0
Focus (feat. 21 Savage),"[19859, 17390, 15963, 14659]",16967.75,1928.5662258527707
Sad Song (feat. TINI),"[19377, 16757, 13484]",16539.333333333332,2410.725524723948
Fedezékbe,"[18909, 19041, 16181, 14699, 14806, 14885, 13617, 13833, 14233, 16292, 15999, 14850, 14312]",15512.076923076924,1681.6490286683788
Sanctuary,"[17061, 15606]",16333.5,727.5
Bounce Back,[16953],16953.0,0.0
when the party's over - Recorded at Spotify Studios NYC,[16754],16754.0,0.0
Otro Trago,"[13070, 13324]",13197.0,127.0
Rodeo,"[38271, 44872, 34007, 29332, 24593, 21417, 15251, 13936, 13296]",26108.333333333332,10683.812906552708
On A Roll,"[21400, 35959, 37679, 34052, 31673, 23603, 15119]",28497.85714285714,7876.049525139427
MEGATRON,[17225],17225.0,0.0
I Want It That Way,"[16216, 13673]",14944.5,1271.5
All the Time,[15223],15223.0,0.0
Csóró,"[14935, 13658]",14296.5,638.5
The Git Up,"[14436, 16650, 18989, 16352, 17048, 16419, 14091]",16283.57142857143,1525.1172186465685
Last Resort,"[14256, 13303]",13779.5,476.5
Dear Society,[13959],13959.0,0.0
Don't Check On Me (feat. Justin Bieber & Ink),"[30582, 20824, 20052, 19862, 16992]",21662.4,4645.635439851044
QUE PRETENDES,"[25613, 17226]",21419.5,4193.5
When I Grow Up,"[22039, 19240, 15583, 15372]",18058.5,2765.2172156993383
R.I.P.,"[15929, 13751, 14777]",14819.0,889.6606094460966
King Of My Castle - Don Diablo Edit,"[13745, 13546]",13645.5,99.5
Best Part of Me (feat. YEBBA),"[29928, 30934, 15753, 14115]",22682.5,7778.247697907286
BLOW (with Chris Stapleton & Bruno Mars),"[21148, 22458]",21803.0,655.0
C7osure (You Like),[17375],17375.0,0.0
Lullaby,"[13356, 14226, 14115, 13288]",13746.25,426.7390156758578
Antisocial (with Travis Scott),"[87130, 64854, 53005, 52519, 35126, 24393, 20991, 20024, 18206, 16284, 15367, 15133]",35252.666666666664,22702.17311306465
Remember The Name (feat. Eminem & 50 Cent),"[73221, 52016, 37554, 37402, 30283, 21146, 19641, 18149, 16934, 16233, 15899, 15744, 14923, 14358]",27393.071428571428,16754.54204287084
Take Me Back to London (feat. Stormzy),"[34574, 19737, 14967, 17550]",21707.0,7618.215637536128
Thing for You (with Martin Solveig),[27084],27084.0,0.0
Nothing On You (feat. Paulo Londra & Dave),[20454],20454.0,0.0
Way To Break My Heart (feat. Skrillex),[20279],20279.0,0.0
Feels (feat. Young Thug & J Hus),[20006],20006.0,0.0
Put It All on Me (feat. Ella Mai),[18709],18709.0,0.0
1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie),[18503],18503.0,0.0
Idegenek,"[18225, 87805, 139785, 97882, 69597, 50129]",77237.16666666667,38135.242582230356
I Don't Want Your Money (feat. H.E.R.),[16876],16876.0,0.0
Felhők,[16635],16635.0,0.0
Time - Edit,"[15195, 16873, 19297, 20637, 20525, 15832, 14764]",17589.0,2334.1939569306205
L'amour,[15123],15123.0,0.0
MOOD 4 EVA (feat. Oumou Sangaré),[25177],25177.0,0.0
I.F.L.Y.,"[18310, 15433, 16621, 19460, 18595, 17829, 15960, 13691, 14040, 14898, 13851]",16244.363636363636,1964.3303866123424
BROWN SKIN GIRL,[16192],16192.0,0.0
"Royalty (feat. Ky-Mani Marley, Stefflon Don & Vybz Kartel)",[14856],14856.0,0.0
Csendes Vizeken,"[14805, 13206, 15421, 15475, 14816, 14459, 14337, 13869]",14548.5,713.5979260059547
Maradj Így,"[14065, 13199, 16029, 16301, 15324, 14884, 14456, 14069, 14774, 14719, 15473]",14844.818181818182,865.4619174628729
These Are The Times (feat. JRM),[13691],13691.0,0.0
Back In Black,[13397],13397.0,0.0
Old Town Road (feat. RM of BTS) - Seoul Town Road Remix,[34078],34078.0,0.0
The Archer,"[31909, 18032, 14343]",21428.0,7562.658306883014
China,"[16230, 23647, 24589, 24075, 25475, 22785, 22080, 23689, 17713, 16232, 14015]",20957.272727272728,3884.858277300569
"Fuego (with Sean Paul & Anitta, feat. Tainy)",[13565],13565.0,0.0
Fiatalon,"[13346, 14332]",13839.0,493.0
Never Be Alone (feat. Aloe Blacc),[13248],13248.0,0.0
boyfriend (with Social House),"[81639, 59769, 48619, 47789, 42949, 39691, 42840, 35045, 31923, 27236, 25122, 17199, 16242, 13682]",37838.92857142857,17852.730189222704
Galway Girl,"[17637, 13602]",15619.5,2017.5
Castle on the Hill,[14113],14113.0,0.0
Photograph,[13730],13730.0,0.0
Casanova (feat. Dér Heni & Curtis),[13703],13703.0,0.0
Small Talk,"[29700, 15908, 15904, 14113]",18906.25,6274.617373792605
Nero Forte,[21829],21829.0,0.0
Critical Darling,[21400],21400.0,0.0
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),"[20221, 16013, 14662, 14497]",16348.25,2311.987821659102
The Pretender,[19052],19052.0,0.0
Congratulations,"[19010, 14130, 13010]",15383.333333333334,2604.8843011201516
Ride,"[17974, 14125]",16049.5,1924.5
Birth Of The Cruel,[17897],17897.0,0.0
I Fall Apart,[16403],16403.0,0.0
Go Flex,[16134],16134.0,0.0
No Way!,[15062],15062.0,0.0
Jumpsuit,[14525],14525.0,0.0
Orphan,[14308],14308.0,0.0
My Blood,[14277],14277.0,0.0
Red Flag,[14163],14163.0,0.0
Solway Firth,[14006],14006.0,0.0
Best of You,[13829],13829.0,0.0
A Liar's Funeral,[13821],13821.0,0.0
Candy Paint,[13813],13813.0,0.0
Slide Away,"[33354, 33584, 37736, 39909, 42578, 32833, 26642, 15178]",32726.75,8061.070381004001
Lover,"[31419, 43222, 30444, 22346, 19815, 17179, 16024, 15497]",24493.25,9129.616527406833
Home (feat. Bonn),"[19556, 13450]",16503.0,3053.0
Motivation,"[18367, 18714, 21559, 19967, 22605, 19595, 17285, 17010, 17840, 16765, 18056, 16820, 16030]",18508.69230769231,1878.7211028379174
Csak nélküled élem túl,"[15735, 17850, 17076, 14647, 13776]",15816.8,1500.6315203939973
Won't Be Late (feat. Drake),"[14499, 14433]",14466.0,33.0
Bad Bad Bad (feat. Lil Baby),[13411],13411.0,0.0
Right Back (feat. A Boogie Wit Da Hoodie),"[13245, 14401, 13293]",13646.333333333334,533.9895962365642
The Man,"[35168, 23539, 16069]",24925.333333333332,7858.515141057006
I Warned Myself,"[16441, 19097, 16434, 14963]",16733.75,1491.3130749443592
I Forgot That You Existed,[15804],15804.0,0.0
Miss Americana & The Heartbreak Prince,[15332],15332.0,0.0
Paper Rings,[15180],15180.0,0.0
"Orbán, Verd Ki A Ferinek",[14659],14659.0,0.0
Fuck it I love you,"[13510, 16114]",14812.0,1302.0
"Yo x Ti, Tu x Mi","[13464, 14579]",14021.5,557.5
I Think He Knows,[13137],13137.0,0.0
London Boy,[13073],13073.0,0.0
Babushka Boi,"[24387, 15468]",19927.5,4459.5
Norman fucking Rockwell,[21368],21368.0,0.0
Graduation (with Juice WRLD),"[20460, 15537]",17998.5,2461.5
Play,[13112],13112.0,0.0
Saint-Tropez,"[82175, 77087, 64251, 53932, 48823, 44998, 36013, 22953, 20010, 19141, 16688, 15335]",41783.833333333336,22902.027464227314
Die For Me (feat. Future & Halsey),"[67853, 57530, 42236, 33499, 26234, 22506, 19437, 17903, 15849, 15171]",31821.8,17515.50988581263
Enemies (feat. DaBaby),"[61430, 49540, 38206, 30986, 25612, 20853, 17684, 16606, 14082]",30555.444444444445,15357.149743585675
On The Road (feat. Meek Mill & Lil Baby),"[51341, 41315, 27193, 20047, 17755, 15887]",28923.0,13118.474149076943
Shameless,"[46184, 38275, 32978, 25958, 17293, 15345, 35358]",30198.714285714286,10421.628303187363
A Thousand Bad Times,"[44127, 33032, 19626, 15741]",28131.5,11244.320132849296
I'm Gonna Be,"[40862, 25138, 16432]",27477.333333333332,10109.750584900148
Allergic,"[40185, 22905, 15216]",26102.0,10441.211519742334
Staring At The Sun (feat. SZA),"[39646, 22556, 14627]",25609.666666666668,10439.707860961542
Myself,"[28871, 16960]",22915.5,5955.5
I Know,"[27059, 15219]",21139.0,5920.0
Internet,[25248],25248.0,0.0
Wanted,"[24775, 16364]",20569.5,4205.5
Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),"[115593, 76348, 60379, 53816, 45120, 38328, 34279, 23557, 19583, 18312, 16490]",45618.63636363636,28709.2950366973
Que Calor,"[19525, 15133, 14402, 14744, 14464, 14150]",15403.0,1868.680282980478
Behind Barz - Bonus,"[15797, 17854, 14112, 14834]",15649.25,1406.2825774004314
Somebody To Love,[13984],13984.0,0.0
Wild West,[13759],13759.0,0.0
Koccintós (feat. Heincz Gábor BIGA),"[13679, 16574, 16791, 17000, 16303, 16270]",16102.833333333334,1113.8116861580427
Sokáig vártalak,"[19594, 33310, 33428, 30752, 32745, 32174, 37830]",31404.714285714286,5227.882245757855
Ég veled,[19079],19079.0,0.0
Killa piknik,[18029],18029.0,0.0
Camelot,"[15322, 15352, 18139, 16069, 15111]",15998.6,1118.0323072255112
Ikarosz,[15222],15222.0,0.0
Feelings,"[14478, 14352, 15302, 16161, 15917, 16944, 15858, 14915]",15490.875,834.2107703542313
Csukódj be,[14462],14462.0,0.0
Writing on the Wall (feat. Post Malone & Cardi B),"[36327, 32205, 27310, 23048, 20907]",27959.4,5697.749822517658
Lonely (with Jonas Brothers),"[24097, 22589, 21480, 19547, 20773, 19188, 17369]",20720.428571428572,2084.9752213082506
Summer Of '69,[21073],21073.0,0.0
223's (feat. 9lokknine),"[19147, 24807, 22408, 21435, 19411, 18343, 20518, 17163]",20404.0,2285.7242287730164
Chop Suey!,"[16967, 15457]",16212.0,755.0
Hot (feat. Gunna),"[15623, 19677, 19834, 18297, 18969]",18480.0,1529.7832526211025
"10,000 Hours (with Justin Bieber)","[46310, 42273, 37997, 36703, 31449, 26971, 24222, 21840, 19942, 18299, 16537]",29322.090909090908,9774.940775961444
Cry for Me,"[32888, 24859]",28873.5,4014.5
Nasa,"[24096, 29687, 18947]",24243.333333333332,4385.824159215182
Good Thing (with Kehlani),"[22125, 26756, 25165, 26405, 24165, 22568, 20891, 17731]",23225.75,2839.4717268358213
Nice To Meet Ya,"[21405, 27518, 25182, 28107, 27045, 25892, 24724, 22717, 20128, 17682, 20981, 20690, 16435]",22962.0,3622.571313732405
Felemel,[16345],16345.0,0.0
Így máshogy,"[13914, 17413]",15663.5,1749.5
Lights Up,"[75166, 57978, 51090, 42806, 41482, 50947, 43326, 30363, 21451, 32769, 15564, 17181]",40010.25,16908.72879178582
Táncolj Ildi!,"[31716, 29360, 19175, 21477, 24353, 19392, 16861]",23190.571428571428,5149.892949154876
Phoenix,"[25702, 20376, 17292, 13479]",19212.25,4472.937646279009
original me (feat. dan reynolds of imagine dragons),"[24842, 14382]",19612.0,5230.0
Easy,"[20433, 20867, 20999, 18351, 15593]",19248.6,2061.7962653957834
Szevasz öcsém,"[14620, 14072]",14346.0,274.0
What Am I,"[13967, 13670, 15104, 15256, 14275]",14454.4,624.430812820764
Harleys In Hawaii,"[33108, 25123, 19628, 16510]",23592.25,6300.1237438244025
Make It Right (feat. Lauv),"[25338, 22141, 17958, 16448]",20471.25,3499.1529957262514
I Wanna Rock (feat. Gunna),[25123],25123.0,0.0
Hidegvérrel,"[18683, 24565, 20570, 20015, 18415, 17598, 17246]",19584.571428571428,2316.3122696675086
Stuck In A Dream (feat. Gunna),"[14207, 20993, 27863, 23498, 15481]",20408.4,5063.498379579083
Follow God,"[71533, 48682, 42246, 35928, 25070, 19742]",40533.5,16945.582725792192
Look At Her Now,"[69695, 53098, 43730, 38652, 34699, 27002, 19315, 20677, 18940, 21597, 31258, 20924, 16703]",32022.30769230769,15204.42972084434
Good as Hell (feat. Ariana Grande) - Remix,"[36491, 36818, 33914, 34809, 32061, 24065, 19332, 21171, 23268, 23891, 22919, 17274, 17700, 17353]",25790.428571428572,7152.295143261813
Closed On Sunday,"[35822, 14449]",25135.5,10686.5
Selah,[33079],33079.0,0.0
Trigger,"[32961, 23542, 21951, 19610, 17881, 15724]",21944.833333333332,5546.348090310316
On God,[30905],30905.0,0.0
Use This Gospel,[29783],29783.0,0.0
Everything We Need,[28884],28884.0,0.0
Orphans,"[28364, 18182, 15128, 14986, 18664]",19064.8,4889.787332798841
Every Hour,[19926],19926.0,0.0
God Is,[19679],19679.0,0.0
Принцесса,"[18709, 14681]",16695.0,2014.0
Hands On,[18157],18157.0,0.0
Bad To You (with Normani & Nicki Minaj),"[40830, 26985, 15158]",27657.666666666668,10491.33789794652
